,Questions,Answers
0,Explain how hydraulics work on a machine,"Using a incompressible fluid machines use hydraulics to transmit force from one point to another. In most cases, this increases the force applied at one end for a given amount of effort."
1,What is a process flow diagram?,Commonly used in chemical and process engineering. A process flow diagram (PFD) is a diagram that is used to indicate the general flow of equipment and plant processes. 
2,What is the difference between a strut and a column? ,A Column is always vertical but a strut could carry an axial compressive load in any direction. A strut and column both carry the compressive load.
3,To increase the corrosion resistance of steel which elements do you need?,Chromium and nickel.
4,What are the principal constituents of brass?,Copper and since are principal constituents of brass are copper.
5,An elastomer is a polymer when its percentage elongation rate is?,Greater than 100%.
6,Distinguish between fatigue and creep.,Fatigue is the reduced tendency of a material to offer resistance to applied stress under repeated or fluctuating loading conditions.
7,What is the second law of thermodynamics?,Thesecond law of thermodynamicsstates that total entropywill always increase within a closed system and can never decrease over time.
8,What is the process flow diagram?,A process flow diagram is a diagram commonly used in chemical and process engineering to indicate the general flow of plant processes and equipment.
9,Explain mechanical refrigeration,Using an artificial heat exchange system mechanical refrigeration is a process where heated is removed from a chosen location. 
10,Describe the difference between a tube and a pipe,"Pipes are always round while tubes can come in different shapes such as rectangular, square, or cylindrical. "
11,Explain what a bearing is?,Bearingsprecision-made components that enable machinery to move at high speeds whilereducing friction between moving parts.
12,What is a P&ID?,Used in the process industry a P&ID is a piping and instrumentation diagram. This diagram shows process equipment and piping together with control devices and instrumentation in detail.
13,Explain what GD&T is,GD&T stands for geometric dimensioning and tolerancing which is a system for defining and communicating engineering tolerances.
